fr,en,it,de,es,ko,kana
,"This Cycling Road is on a slope.\nlIn other words, if you don't move or if you are not pressing \k[B], you will go down continuously!","This Cycling Road is on a slope.\nlIn other words, if you don't move or if you are not pressing \k[B], you will go down continuously!","This Cycling Road is on a slope.\nlIn other words, if you don't move or if you are not pressing \k[B], you will go down continuously!","This Cycling Road is on a slope.\nlIn other words, if you don't move or if you are not pressing \k[B], you will go down continuously!","This Cycling Road is on a slope.\nlIn other words, if you don't move or if you are not pressing \k[B], you will go down continuously!","This Cycling Road is on a slope.\nlIn other words, if you don't move or if you are not pressing \k[B], you will go down continuously!"
,"Also, an obscure and unfathomable force keeps anyone from going on it without a bike...","Also, an obscure and unfathomable force keeps anyone from going on it without a bike...","Also, an obscure and unfathomable force keeps anyone from going on it without a bike...","Also, an obscure and unfathomable force keeps anyone from going on it without a bike...","Also, an obscure and unfathomable force keeps anyone from going on it without a bike...","Also, an obscure and unfathomable force keeps anyone from going on it without a bike..."
,Surely these damn developers have something to do with that!,Surely these damn developers have something to do with that!,Surely these damn developers have something to do with that!,Surely these damn developers have something to do with that!,Surely these damn developers have something to do with that!,Surely these damn developers have something to do with that!
,"Oh, well done, you found me!\nlIn case you don't know why I'm here, it's to show that you can roll on this bar which is considered a bridge by the system and pass on top of me, and you won't be able to talk to me either!","Oh, well done, you found me!\nlIn case you don't know why I'm here, it's to show that you can roll on this bar which is considered a bridge by the system and pass on top of me, and you won't be able to talk to me either!","Oh, well done, you found me!\nlIn case you don't know why I'm here, it's to show that you can roll on this bar which is considered a bridge by the system and pass on top of me, and you won't be able to talk to me either!","Oh, well done, you found me!\nlIn case you don't know why I'm here, it's to show that you can roll on this bar which is considered a bridge by the system and pass on top of me, and you won't be able to talk to me either!","Oh, well done, you found me!\nlIn case you don't know why I'm here, it's to show that you can roll on this bar which is considered a bridge by the system and pass on top of me, and you won't be able to talk to me either!","Oh, well done, you found me!\nlIn case you don't know why I'm here, it's to show that you can roll on this bar which is considered a bridge by the system and pass on top of me, and you won't be able to talk to me either!"
,Try it and you'll see!,Try it and you'll see!,Try it and you'll see!,Try it and you'll see!,Try it and you'll see!,Try it and you'll see!
,"You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!","You can't access the Cycling Road on foot, of course!"
,You must.[WAIT 20].[WAIT 20]. never.[WAIT 20].[WAIT 20]. stop.[WAIT 20].[WAIT 20]. pedaling!,You must.[WAIT 20].[WAIT 20]. never.[WAIT 20].[WAIT 20]. stop.[WAIT 20].[WAIT 20]. pedaling!,You must.[WAIT 20].[WAIT 20]. never.[WAIT 20].[WAIT 20]. stop.[WAIT 20].[WAIT 20]. pedaling!,You must.[WAIT 20].[WAIT 20]. never.[WAIT 20].[WAIT 20]. stop.[WAIT 20].[WAIT 20]. pedaling!,You must.[WAIT 20].[WAIT 20]. never.[WAIT 20].[WAIT 20]. stop.[WAIT 20].[WAIT 20]. pedaling!,You must.[WAIT 20].[WAIT 20]. never.[WAIT 20].[WAIT 20]. stop.[WAIT 20].[WAIT 20]. pedaling!
,I really enjoy letting myself go with the speed!,I really enjoy letting myself go with the speed!,I really enjoy letting myself go with the speed!,I really enjoy letting myself go with the speed!,I really enjoy letting myself go with the speed!,I really enjoy letting myself go with the speed!
,"But to get back on the slope, you must strain your legs a lot...","But to get back on the slope, you must strain your legs a lot...","But to get back on the slope, you must strain your legs a lot...","But to get back on the slope, you must strain your legs a lot...","But to get back on the slope, you must strain your legs a lot...","But to get back on the slope, you must strain your legs a lot..."
,You can climb these big boulders by jumping on them with an \c[5]Acro Bike\c[0].,You can climb these big boulders by jumping on them with an \c[5]Acro Bike\c[0].,You can climb these big boulders by jumping on them with an \c[5]Acro Bike\c[0].,You can climb these big boulders by jumping on them with an \c[5]Acro Bike\c[0].,You can climb these big boulders by jumping on them with an \c[5]Acro Bike\c[0].,You can climb these big boulders by jumping on them with an \c[5]Acro Bike\c[0].
,"If you do a wheelie and stay still, you'll start bunny hopping!","If you do a wheelie and stay still, you'll start bunny hopping!","If you do a wheelie and stay still, you'll start bunny hopping!","If you do a wheelie and stay still, you'll start bunny hopping!","If you do a wheelie and stay still, you'll start bunny hopping!","If you do a wheelie and stay still, you'll start bunny hopping!"
,The rocky ramps you see over there make you jump very far with your bike.,The rocky ramps you see over there make you jump very far with your bike.,The rocky ramps you see over there make you jump very far with your bike.,The rocky ramps you see over there make you jump very far with your bike.,The rocky ramps you see over there make you jump very far with your bike.,The rocky ramps you see over there make you jump very far with your bike.
,"If you take it at high speed, you'll go even further!","If you take it at high speed, you'll go even further!","If you take it at high speed, you'll go even further!","If you take it at high speed, you'll go even further!","If you take it at high speed, you'll go even further!","If you take it at high speed, you'll go even further!"
,I saw a skillful dude with a mountain bike crossing these white ramps installed on our left.,I saw a skillful dude with a mountain bike crossing these white ramps installed on our left.,I saw a skillful dude with a mountain bike crossing these white ramps installed on our left.,I saw a skillful dude with a mountain bike crossing these white ramps installed on our left.,I saw a skillful dude with a mountain bike crossing these white ramps installed on our left.,I saw a skillful dude with a mountain bike crossing these white ramps installed on our left.
,He was bouncing on his \c[5]Acro Bike\c[0] and jumped from one ramp to another like an acrobat!,He was bouncing on his \c[5]Acro Bike\c[0] and jumped from one ramp to another like an acrobat!,He was bouncing on his \c[5]Acro Bike\c[0] and jumped from one ramp to another like an acrobat!,He was bouncing on his \c[5]Acro Bike\c[0] and jumped from one ramp to another like an acrobat!,He was bouncing on his \c[5]Acro Bike\c[0] and jumped from one ramp to another like an acrobat!,He was bouncing on his \c[5]Acro Bike\c[0] and jumped from one ramp to another like an acrobat!
,I lack some acceleration with my hog to cross these mudslide...,I lack some acceleration with my hog to cross these mudslide...,I lack some acceleration with my hog to cross these mudslide...,I lack some acceleration with my hog to cross these mudslide...,I lack some acceleration with my hog to cross these mudslide...,I lack some acceleration with my hog to cross these mudslide...
,If only I had a \c[5]Mach Bike\c[0]!,If only I had a \c[5]Mach Bike\c[0]!,If only I had a \c[5]Mach Bike\c[0]!,If only I had a \c[5]Mach Bike\c[0]!,If only I had a \c[5]Mach Bike\c[0]!,If only I had a \c[5]Mach Bike\c[0]!
,"Don't worry, I'm not a Trainer.","Don't worry, I'm not a Trainer.","Don't worry, I'm not a Trainer.","Don't worry, I'm not a Trainer.","Don't worry, I'm not a Trainer.","Don't worry, I'm not a Trainer."
